"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72405013743","2009-01-01","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  27.7","24","   5.6","24","1025.6","24","023.4","24"," 10.0","24"," 10.6","24"," 28.0"," 43.9","  46.9"," ","  23.0"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-02","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  33.8","24","  14.6","24","1017.7","24","015.4","24"," 10.0","24","  9.9","24"," 14.0"," 19.0","  43.0"," ","  23.0"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-03","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  38.7","24","  19.3","24","1016.6","24","014.3","24"," 10.0","24","  6.9","24"," 12.0","999.9","  46.9"," ","  30.2"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-04","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  35.8","24","  20.7","24","1021.4","24","019.1","24"," 10.0","24","  3.2","24","  7.0","999.9","  46.9"," ","  27.0"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-05","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  42.3","24","  31.5","24","1016.5","24","014.2","24","  9.8","24","  4.9","24"," 12.0","999.9","  51.1"," ","  27.1"," "," 0.00","G","999.9","010000"
"72405013743","2009-01-06","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  36.9","24","  25.9","24","1016.8","21","014.2","24","  7.8","24","  6.8","24"," 12.0","999.9","  51.1"," ","  32.0"," "," 0.04","G","999.9","011000"
"72405013743","2009-01-07","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  35.2","24","  33.5","24","1002.1","15","996.6","24","  6.0","24","  4.2","24"," 13.0"," 19.0","  41.0"," ","  32.0"," "," 0.97","G","999.9","010000"
"72405013743","2009-01-08","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  37.8","24","  25.3","24","1000.2","23","997.3","24","  9.5","24","  8.7","24"," 17.1"," 29.9","  42.1"," ","  33.1"," "," 0.77","G","999.9","011000"
"72405013743","2009-01-09","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  32.4","24","  14.7","24","1017.4","24","015.1","24"," 10.0","24","  9.1","24"," 15.9"," 24.1","  42.1"," ","  27.0"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-10","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  34.8","24","  21.4","24","1022.7","24","020.4","24","  9.2","24","  5.4","24","  8.9"," 18.1","  39.9"," ","  27.1"," "," 0.00","G","999.9","011000"
"72405013743","2009-01-11","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  36.7","24","  29.7","24","1013.9","23","011.1","24","  7.4","24","  7.0","24"," 15.9"," 24.1","  39.9"," ","  32.0"," "," 0.24","G","999.9","010000"
"72405013743","2009-01-12","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  32.1","24","  18.1","24","1021.8","24","019.4","24"," 10.0","24","  7.3","24"," 12.0"," 19.0","  39.9"," ","  27.0"," "," 0.10","G","999.9","000000"
"72405013743","2009-01-13","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  33.2","24","  25.4","24","1020.6","24","018.3","24","  9.8","24","  4.8","24","  8.9","999.9","  39.9"," ","  27.0"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-14","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  29.4","24","  11.1","24","1017.9","23","015.8","24"," 10.0","24","  9.3","24"," 21.0"," 28.0","  39.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-15","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  26.1","24","   9.3","24","1022.3","24","020.1","24"," 10.0","24"," 10.2","24"," 26.0"," 33.0","  34.0"," ","  19.9"," "," 0.00","G","999.9","001000"
"72405013743","2009-01-16","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  15.6","24","  -6.9","24","1035.6","24","033.4","24"," 10.0","24"," 10.9","24"," 20.0"," 27.0","  28.0"," ","  10.9"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-17","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  14.2","24","  -4.7","24","1035.5","24","033.4","24"," 10.0","24","  6.8","24"," 13.0","999.9","  23.0"," ","   8.1"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-18","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  30.7","24","  10.2","24","1015.9","24","013.9","24"," 10.0","24","  9.1","24"," 15.0"," 15.9","  37.0"," ","   8.1"," "," 0.00","G","999.9","000000"
"72405013743","2009-01-19","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  30.2","24","  22.2","24","1005.8","24","003.6","24","  8.1","24","  3.6","24"," 12.0","999.9","  37.0"," ","  24.1"," "," 0.00","G","999.9","001000"
"72405013743","2009-01-20","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  25.5","24","  11.9","24","1007.8","24","005.6","24"," 10.0","24"," 10.9","24"," 17.1"," 21.0","  36.0"," ","  19.0"," "," 0.00","G","999.9","000000"
