"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72405013743","2008-01-01","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  45.2","24","  31.0","24","1013.9","24","011.6","24"," 10.0","24"," 10.7","24"," 19.0"," 27.0","  54.0"," ","  34.0"," "," 0.01","G","999.9","000000"
"72405013743","2008-01-02","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  34.5","24","  13.6","24","1016.2","24","013.9","24","  9.9","24"," 13.9","24"," 26.0"," 35.0","  42.1","*","  28.4","*"," 0.00","G","999.9","001000"
"72405013743","2008-01-03","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  27.5","24","   6.0","24","1035.6","24","033.3","24"," 10.0","24"," 12.4","24"," 22.9"," 35.0","  37.9"," ","  21.9"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-04","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  29.3","24","  11.1","24","1038.2","24","035.9","24"," 10.0","24","  5.6","24"," 11.1","999.9","  41.0"," ","  21.0"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-05","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  35.3","24","  18.9","24","1029.6","24","027.3","24"," 10.0","24","  3.2","24","  6.0","999.9","  43.0"," ","  22.1"," "," 0.00","G","999.9","010000"
"72405013743","2008-01-06","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  43.4","24","  34.0","24","1024.8","24","022.4","24","  9.4","24","  3.6","24","  8.0","999.9","  55.0"," ","  28.2"," "," 0.19","G","999.9","010000"
"72405013743","2008-01-07","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  53.7","24","  43.3","24","1023.8","24","021.5","24","  9.9","24","  5.0","24","  9.9","999.9","  69.1"," ","  37.9"," "," 0.01","G","999.9","000000"
"72405013743","2008-01-08","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  58.4","24","  47.5","24","1021.8","24","019.5","24"," 10.0","24","  9.0","24"," 19.0"," 25.1","  73.0"," ","  48.0"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-09","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  62.0","24","  45.2","24","1014.7","24","012.1","24"," 10.0","24"," 12.1","24"," 19.0"," 26.0","  73.0"," ","  48.0"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-10","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  47.6","24","  30.3","24","1021.7","23","019.5","24","  9.9","24","  3.3","24","  8.0"," 18.1","  68.0"," ","  39.9"," "," 0.00","G","999.9","010000"
"72405013743","2008-01-11","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  47.9","24","  43.3","24","1009.8","17","007.2","24","  4.5","24","  3.1","24"," 11.1"," 21.0","  59.0"," ","  39.9"," "," 0.19","G","999.9","110000"
"72405013743","2008-01-12","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  48.6","24","  32.6","24","1016.0","24","013.6","24"," 10.0","24","  6.2","24"," 11.1"," 21.0","  59.0"," ","  42.1"," "," 0.14","G","999.9","000000"
"72405013743","2008-01-13","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  42.6","24","  31.4","24","1020.0","23","017.6","24","  9.2","24","  6.1","24"," 12.0","999.9","  54.0"," ","  36.0"," "," 0.00","G","999.9","010000"
"72405013743","2008-01-14","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  43.0","24","  31.9","24","1013.4","18","011.0","24","  9.4","24","  6.8","24"," 14.0"," 24.1","  48.9"," ","  36.0"," "," 0.03","G","999.9","010000"
"72405013743","2008-01-15","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  35.8","24","  17.0","24","1014.9","24","012.6","24"," 10.0","24","  7.9","24"," 13.0"," 25.1","  46.9"," ","  30.0"," "," 0.00","G","999.9","001000"
"72405013743","2008-01-16","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  36.3","24","  18.1","24","1024.2","24","021.9","24"," 10.0","24","  8.3","24"," 15.9"," 22.0","  44.1"," ","  31.1"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-17","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  36.6","24","  26.2","24","1026.9","18","023.7","24","  7.3","24","  3.8","24","  8.9","999.9","  44.1"," ","  32.0"," "," 0.00","G","  1.2","011000"
"72405013743","2008-01-18","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  37.8","24","  31.9","24","1015.8","19","013.2","24","  6.7","24","  6.3","24"," 11.1","999.9","  48.9"," ","  33.1"," "," 0.75","G","  1.2","010000"
"72405013743","2008-01-19","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  39.3","24","  19.9","24","1019.3","24","017.0","24"," 10.0","24","  5.6","24"," 11.1","999.9","  48.9"," ","  34.0"," "," 0.00","G","  1.2","000000"
"72405013743","2008-01-20","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  29.0","24","   7.7","24","1021.9","24","019.6","24"," 10.0","24"," 13.4","24"," 22.0"," 29.9","  42.1"," ","  21.9"," "," 0.00","G","999.9","001000"
"72405013743","2008-01-21","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  23.5","24","  -4.3","24","1040.3","24","038.1","24"," 10.0","24","  6.4","24"," 12.0"," 18.1","  37.0"," ","  18.0"," "," 0.00","G","999.9","000000"
"72405013743","2008-01-22","38.8472","-77.03454","3.0","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","  32.6","24","  14.4","24","1029.9","23","027.7","24"," 10.0","24","  9.8","24"," 14.0","999.9","  42.8","*","  27.0","*"," 0.00","G","999.9","010000"
